timestamp,message
1656508446141,"[DEBUG]	2022-06-29T13:14:06.141Z	af6b10c0-8732-4831-8baa-bd52be84864b	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookPlane
"
1656508446142,"END RequestId: af6b10c0-8732-4831-8baa-bd52be84864b
"
1656508446142,"REPORT RequestId: af6b10c0-8732-4831-8baa-bd52be84864b	Duration: 1.85 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 40 MB	
"
1656508446154,"START RequestId: 2e263b46-e01b-4781-a5d2-93439502b983 Version: $LATEST
"
1656508446156,"[DEBUG]	2022-06-29T13:14:06.156Z	2e263b46-e01b-4781-a5d2-93439502b983	event.bot.name=BookTripTestTwo
"
1656508446156,"[DEBUG]	2022-06-29T13:14:06.156Z	2e263b46-e01b-4781-a5d2-93439502b983	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookPlane
"
1656508446157,"[DEBUG]	2022-06-29T13:14:06.156Z	2e263b46-e01b-4781-a5d2-93439502b983	bookFlight at={""ReservationType"": ""Plane"", ""Arrival_Country"": ""australia"", ""Arrival_City"": ""sydney"", ""Leave_Date"": ""2022-06-30"", ""Return_Date"": null, ""Cabin_Type"": ""business"", ""Number_Of_Tickets"": ""2""}
"
1656508446157,"END RequestId: 2e263b46-e01b-4781-a5d2-93439502b983
"
1656508446157,"REPORT RequestId: 2e263b46-e01b-4781-a5d2-93439502b983	Duration: 1.88 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 40 MB	
"
1656508452056,"START RequestId: c2133afd-e6dd-4871-937b-61f2d66f6195 Version: $LATEST
"
1656508452058,"[DEBUG]	2022-06-29T13:14:12.058Z	c2133afd-e6dd-4871-937b-61f2d66f6195	event.bot.name=BookTripTestTwo
"
1656508452058,"[DEBUG]	2022-06-29T13:14:12.058Z	c2133afd-e6dd-4871-937b-61f2d66f6195	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508452059,"END RequestId: c2133afd-e6dd-4871-937b-61f2d66f6195
"
1656508452059,"REPORT RequestId: c2133afd-e6dd-4871-937b-61f2d66f6195	Duration: 1.84 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 40 MB	
"
1656508457292,"START RequestId: f551bde5-067a-4b30-986b-121ba9dba144 Version: $LATEST
"
1656508457295,"[DEBUG]	2022-06-29T13:14:17.293Z	f551bde5-067a-4b30-986b-121ba9dba144	event.bot.name=BookTripTestTwo
"
1656508457295,"[DEBUG]	2022-06-29T13:14:17.293Z	f551bde5-067a-4b30-986b-121ba9dba144	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508457309,"END RequestId: f551bde5-067a-4b30-986b-121ba9dba144
"
1656508457309,"REPORT RequestId: f551bde5-067a-4b30-986b-121ba9dba144	Duration: 16.24 ms	Billed Duration: 17 ms	Memory Size: 128 MB	Max Memory Used: 40 MB	
"
1656508462609,"START RequestId: a7ea7f72-53c4-4e6f-ae75-1102e7db8f6e Version: $LATEST
"
1656508462611,"[DEBUG]	2022-06-29T13:14:22.611Z	a7ea7f72-53c4-4e6f-ae75-1102e7db8f6e	event.bot.name=BookTripTestTwo
"
1656508462611,"[DEBUG]	2022-06-29T13:14:22.611Z	a7ea7f72-53c4-4e6f-ae75-1102e7db8f6e	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508462612,"END RequestId: a7ea7f72-53c4-4e6f-ae75-1102e7db8f6e
"
1656508462612,"REPORT RequestId: a7ea7f72-53c4-4e6f-ae75-1102e7db8f6e	Duration: 2.07 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 40 MB	
"
1656508465937,"START RequestId: 13b80aab-e612-4ff4-8835-e33c7a51e9aa Version: $LATEST
"
1656508465941,"[DEBUG]	2022-06-29T13:14:25.940Z	13b80aab-e612-4ff4-8835-e33c7a51e9aa	event.bot.name=BookTripTestTwo
"
1656508465941,"[DEBUG]	2022-06-29T13:14:25.941Z	13b80aab-e612-4ff4-8835-e33c7a51e9aa	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508465949,"END RequestId: 13b80aab-e612-4ff4-8835-e33c7a51e9aa
"
1656508465949,"REPORT RequestId: 13b80aab-e612-4ff4-8835-e33c7a51e9aa	Duration: 9.21 ms	Billed Duration: 10 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508468112,"START RequestId: 2bdb7375-b7b1-48e1-abe3-3fea2e2f69b4 Version: $LATEST
"
1656508468114,"[DEBUG]	2022-06-29T13:14:28.114Z	2bdb7375-b7b1-48e1-abe3-3fea2e2f69b4	event.bot.name=BookTripTestTwo
"
1656508468114,"[DEBUG]	2022-06-29T13:14:28.114Z	2bdb7375-b7b1-48e1-abe3-3fea2e2f69b4	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508468115,"END RequestId: 2bdb7375-b7b1-48e1-abe3-3fea2e2f69b4
"
1656508468115,"REPORT RequestId: 2bdb7375-b7b1-48e1-abe3-3fea2e2f69b4	Duration: 2.03 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
